locationID,fullAQSID,locationName,longitude,latitude,elevation,countryCode,stateCode,countyName,timezone,houseNumber,street,city,zip,AQSID,airnow_stationID,airnow_parameterName,airnow_monitorType,airnow_siteCode,airnow_status,airnow_agencyID,airnow_agencyName,airnow_EPARegion,airnow_GMTOffsetHours,airnow_CBSA_ID,airnow_CBSA_Name,airnow_stateAQSCode,airnow_countyAQSCode,airnow_MSAName,address
61aa22b8558f3212,124CC0010102,St. John's,-52.7115,47.56038,9.8,CA,NL,NA,America/St_Johns,NA,George Street,NA,A1C 1H7,CC0010102,CC0010102,PM2.5,Permanent,0102,Active,NL1,Newfoundland & Labrador DEC,CA,-3.5,NA,NA,00,001,NA,"Dooly's, George Street, St. John's, NL A1C 1H7, Canada"
cec69fd52886ae58,124CC0010301,Cornerbrook,-58.0556,48.9494,0,CA,NL,NA,America/St_Johns,NA,Trailway,NA,A2H 3P5,000010301,CC0010301,PM2.5,Permanent,0301,Active,NL1,Newfoundland & Labrador DEC,CA,-4,NA,NA,00,001,NA,"Trailway, Corner Brook, NL A2H 3P5, Canada"
c8ac67730ec3cc8e,124CC0010401,Mount Pearl,-52.7948,47.50513,0,CA,NL,NA,America/St_Johns,NA,Mortimer Drive,NA,A1N 2C4,CC0010401,CC0010401,PM2.5,Permanent,0401,Active,NL1,Newfoundland & Labrador DEC,CA,-3.5,NA,NA,00,001,NA,"Mortimer Drive, Mount Pearl, NL A1N 2C4, Canada"
26a9ea056420ff05,124CC0010501,Grand Falls Windsor,-55.6597,48.92696,0,CA,NL,NA,America/St_Johns,NA,Scott Avenue,Grand Falls-Windsor,A2A 2C9,CC0010501,CC0010501,PM2.5,Permanent,0501,Active,NL1,Newfoundland & Labrador DEC,CA,-3.5,NA,NA,00,001,NA,"Scott Avenue, Grand Falls-Windsor, NL A2A 2C9, Canada"
204c8bc585169544,124CC0010602,MacPherson Avenue - Corner Brook,-57.92207,48.95224,0,CA,NL,NA,America/St_Johns,NA,MacPherson Avenue,NA,A2H 6J7,CC0010602,CC0010602,PM2.5,Permanent,0602,Active,NL1,Newfoundland & Labrador DEC,CA,-3.5,NA,NA,00,001,NA,"MacPherson Avenue, Corner Brook, NL A2H 6J7, Canada"
3f27c9a34de1e4aa,124CC0010901,Marystown/Burin,-55.198521,47.098991,0.9,CA,NL,NA,America/St_Johns,NA,Main Street,Burin,A0E 1G0,CC0010901,CC0010901,PM2.5,Permanent,0901,Active,NL1,Newfoundland & Labrador DEC,CA,-3.5,NA,NA,00,001,NA,"Main Street, Burin, NL A0E 1G0, Canada"
05d606b03b83e7f2,124CC0011001,LABRADOR CITY,-66.9156,52.9528,0,CA,NL,NA,America/Goose_Bay,NA,Smokey Mountain Road,Labrador City,A2V 1L8,000011001,CC0011001,PM2.5,Permanent,1001,Active,NL1,Newfoundland & Labrador DEC,CA,-4,NA,NA,00,001,NA,"Smokey Mountain Road, Labrador City, NL A2V 1L8, Canada"
30b223c718a5bbec,124CC0011002,FIREHALL-LABRADORCITY2,-66.910245,52.94548,0,CA,NL,NA,America/Goose_Bay,NA,Hudson Drive,Labrador City,A2V 1L8,CC0011002,CC0011002,PM2.5,Permanent,1002,Active,NL1,Newfoundland & Labrador DEC,CA,-4,NA,NA,00,001,NA,"Hudson Drive, Labrador City, NL A2V 1L8, Canada"
67346b6fa3291995,124000020104,CHARLOTTETOWN,-63.1306,46.2406,19.8,CA,PE,NA,America/Halifax,8,Williams Lane,NA,C1A 4M3,000020104,000020104,PM2.5,Permanent,0104,Active,PE1,Canada-Prince Edward Island1,CA,-4,NA,NA,00,002,NA,"8 Williams Lane, Charlottetown, PE C1A 4M3, Canada"
80e8ba20dbf1f4c5,124000020301,WELLINGTON,-63.9869,46.4783,33.9,CA,PE,NA,America/Halifax,32,Hackmatack Road,NA,C0B 1Y0,000020301,000020301,PM2.5,Permanent,0301,Active,PE1,Canada-Prince Edward Island1,CA,-4,NA,NA,00,002,NA,"32 Hackmatack Road, Wellington Centre, PE C0B 1Y0, Canada"
005afb7b5c0556d5,124000020401,SOUTHAMPTON,-62.5828,46.3864,15.3,CA,PE,NA,America/Halifax,NA,Cardigan Road,NA,C0A 2A0,000020401,000020401,PM2.5,Permanent,0401,Active,PE1,Canada-Prince Edward Island1,CA,-4,NA,NA,00,002,NA,"Cardigan Road, Cardigan, PE C0A 2A0, Canada"
0f73ba8032553a45,124000030113,JOHNSTON BUILDING -,-63.573689,44.647175,29,CA,NS,NA,America/Halifax,1672,Granville Street,NA,B3J 1X8,000030113,000030113,PM2.5,Permanent,0113,Active,NS1,Canada-Nova Scotia1,CA,-4,NA,NA,00,003,NA,"J.W. Johnston Building, 1672 Granville Street, Halifax, NS B3J 1X8, Canada"
